date,close,high,low,open,volume,adl,atr,middle_band_bll,upper_band_bll,lower_band_bll,cmf,co,cmo,cci,dpo,+di,-di,dx,adx,adxr,dema,emv,emv_ma,upper_band_env,lower_band_env,rl_0.0,rl_23.6,rl_38.2,rl_50.0,rl_61.8,rl_100.0,fosc,tenkan_sen,kijun_sen,senkou_a,senkou_b,imi,ko,lri,lrs,mfi,mi,mp,mom,ma-simple,ma-exponential,ma-time_series,ma-triangular,ma-variable,macd,signal_line,nvi,obv,sar,prf,target_LONG,pvi,pvt,highest_high,lowest_low,posc,prc,upper_band,lower_band,posc,trigger_line,qstick,ri,rmi,rsi,rvi,sd,smi,%K,%D,%K,%D,swi,tsf,tema,tp,uosc,vhf,vch,vosc,vrc,wc,ws,wad,wr
1980-12-08,0.09872591495513916,0.09915513424251526,0.09872591495513916,0.09872591495513916,469033600,-469033600,,,,,,,,,,,,,,,,,,,,255.3093,195.0655,157.7961,127.6742,97.5523,0.0391,,0.0989,0.0989,,,,,,,0.0,,0.0989,,,,,,,,,1000.0,0,0.0992,0.0,0.05,1000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0989,,,,,,0.0988,,,
1980-12-15,0.0970090702176094,0.09743828959767906,0.08670711164192309,0.09400456321224648,490134400,-18107418,,,,,,,,,-0.0117,,,,,,,-0.0,,,,255.3093,195.0655,157.7961,127.6742,97.5523,0.0391,,0.0929,0.0929,,,,,,,0.0,,0.0921,,,,,,,,,1000.0,-490134400,0.0992,-0.0174,0.05,982.61,-8523442.5602,,,,,,,,,,,,,,,,,,,,-0.0036,,,0.0937,,,,,,0.0945,,-0.0017,
1980-12-22,0.12190520763397217,0.12233442714757775,0.101730492123995,0.101730492123995,187891200,161955513,,,,,,,,,0.0109,,,,,,,0.0,,,,255.3093,195.0655,157.7961,127.6742,97.5523,0.0391,,0.1045,0.1045,,,,,,,1e-10,,0.112,,,,,,,,,1256.6372,-302243200,0.0867,0.2348,0.05,982.61,39696431.355,,,,,,,,,,,,,,,,,,,,0.5784,,,0.1153,,,,,,0.117,,0.0249,
1980-12-29,0.11847146600484848,0.12405128489784369,0.11718381901786577,0.12362206541483192,219452800,24797330,,,,,,,,,0.0075,,,,,,,0.0,,,,255.3093,195.0655,157.7961,127.6742,97.5523,0.0391,,0.1054,0.1054,,,,,,,0.0,,0.1206,,,,,,,,,1256.6372,-521696000,0.0867,0.2,0.05,954.9325,33515036.5679,,,,,,,,,,,,,,,,,,,,-0.0064,,,0.1199,,,,,,0.1195,,-0.0056,
1981-01-05,0.1094570979475975,0.1163253287564493,0.10387729297715331,0.1163253287564493,197904000,4313405,,,,,0.0028,,,17.3888,0.0024,,,,,,,-0.0,,,,255.3093,195.0655,157.7961,127.6742,97.5523,0.0391,,0.1054,0.1054,,,,,,,1e-10,,0.1101,,,,,,,,,1161.021,-719600000,0.0882,0.1087,0.05,954.9325,18456731.3392,,,,,,,,,,,,,,,,,,,,-0.2104,,,0.1099,,,,-104204800.0,,0.1098,0.1091,-0.009,-39.0802
1981-01-12,0.10645264387130737,0.10945715764196391,0.1047357772220674,0.10945715764196391,88502400,-19823573,,,,,0.3794,,18.3683,-21.3042,0.0045,,,,,,,-0.0,,,,255.3093,195.0655,157.7961,127.6742,97.5523,0.0391,,0.1054,0.1054,,,,,,,1e-10,,0.1071,,,,,,,,,1129.1525,-808102400,0.0896,0.0783,0.05,954.9325,16027456.2951,0.1241,0.0867,,,,,,,,,,,,,,,,,,-0.0761,,,0.1069,,0.5918,,-93573760.0,-81.1309,0.1068,0.1086,-0.003,-47.1255
1981-01-19,0.11246160417795181,0.11374926199160167,0.10945709220352937,0.11289082344916843,134332800,33909115,,,,,0.0628,,33.3333,-15.2902,0.0149,,,,,,,0.0,,,,255.3093,195.0655,157.7961,127.6742,97.5523,0.0391,,0.1054,0.1054,,,,,,,0.0,,0.1116,,,,,,,,,1129.1525,-673769600,0.091,0.1391,0.05,1008.8358,23610175.0865,0.1241,0.0867,,,,,,,,,,,,,,,,,,0.0762,,,0.1119,,0.3333,,-54199040.0,-72.5927,0.112,0.1094,0.006,-51.9232
1981-01-26,0.0970090702176094,0.1111739860208478,0.0970090702176094,0.1111739860208478,166588800,-132679684,,,,,-0.3652,,-67.4435,-118.8757,0.002,,,,,,,-0.0,,,,255.3093,195.0655,157.7961,127.6742,97.5523,0.0391,,0.1054,0.1054,,,,,,,1e-10,,0.1041,,,,,,,,,1129.1525,-840358400,0.0923,-0.0174,0.05,870.219,720415.4372,0.1241,0.1017,,,,,,,-0.0008,25.4436,,,,,,,,,,-0.3748,,,0.1017,,0.5814,,-10895360.0,-11.3376,0.1006,0.1069,-0.0155,-100.0
1981-02-02,0.09872591495513916,0.09915513424251526,0.09142924437998227,0.0918584579363347,92579200,-50387138,,,,,-0.1106,,-56.0998,-118.4504,0.0078,,,,,,0.1,-0.0,,,,255.3093,195.0655,157.7961,127.6742,97.5523,0.0391,,0.1054,0.1054,,,,,,,1e-10,,0.0953,,,,,,,,,1149.136,-747779200,0.1241,0.0,0.05,870.219,2358861.3265,0.1241,0.097,,,,,,,0.0001,62.7218,,,,,-29.6158,,,,,0.0133,,,0.0964,,0.439,,-6397440.0,-57.8136,0.097,0.1053,0.0073,-70.6915
1981-02-09,0.08756555616855621,0.09443378926062161,0.08756555616855621,0.09443378926062161,74659200,-125046338,,,,,-0.2324,23213603.1948,-58.6226,-116.7251,0.0001,,,,,,0.0924,-0.0,,,,255.3093,195.0655,157.7961,127.6742,97.5523,0.0391,,0.1054,0.1054,,,,,,,1e-10,,0.091,,,,,,,,,1019.2332,-822438400,0.1234,-0.113,0.05,870.219,-6080903.0363,0.1163,0.0914,,,,,,,-0.0012,31.4325,,,,,-49.7783,,,,,-0.186,,,0.0899,,0.6667,,-27713280.0,-62.275,0.0893,0.1017,-0.0112,-100.0
