date,close,high,low,open,volume,adl,atr,middle_band_bll,upper_band_bll,lower_band_bll,cmf,co,cmo,cci,dpo,+di,-di,dx,adx,adxr,dema,emv,emv_ma,upper_band_env,lower_band_env,rl_0.0,rl_23.6,rl_38.2,rl_50.0,rl_61.8,rl_100.0,fosc,tenkan_sen,kijun_sen,senkou_a,senkou_b,imi,ko,lri,lrs,mfi,mi,mp,mom,ma-simple,ma-exponential,ma-time_series,ma-triangular,ma-variable,macd,signal_line,nvi,obv,sar,prf,target_LONG,pvi,pvt,highest_high,lowest_low,posc,prc,upper_band,lower_band,posc,trigger_line,qstick,ri,rmi,rsi,rvi,sd,smi,%K,%D,%K,%D,swi,tsf,tema,tp,uosc,vhf,vch,vosc,vrc,wc,ws,wad,wr
1986-08-11,0.2053920179605484,0.21639539963061846,0.19805706444918159,0.0,27392000,-5479536,,,,,,,,,,,,,,,,,,,,688.37,525.9606,425.4869,344.2822,263.0775,0.1944,,0.2072,0.2072,,,,,,,7e-10,,0.2072,,,,,,,,,1000.0,0,0.1981,0.0,0.05,1000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.2066,,,,,,0.2063,,,
1986-08-18,0.20905955135822296,0.22006293600951826,0.19805711811020527,0.0,8192000,-5479891,,,,,,,,,-0.0128,,,,,,,0.0,,,,688.37,525.9606,425.4869,344.2822,263.0775,0.1944,,0.2091,0.2091,,,,,,,2.7e-09,,0.2091,,,,,,,,,1017.8563,8192000,0.1981,0.0179,0.05,1000.0,146278.4868,,,,,,,,,,,,,,,,,,,,0.5318,,,0.2091,,,,,,0.2091,,0.011,
1986-08-25,0.19438868761062622,0.20905954990960313,0.19438868761062622,0.0,7065600,-12545491,,,,,,,,,-0.0348,,,,,,,-0.0,,,,688.37,525.9606,425.4869,344.2822,263.0775,0.1944,,0.2072,0.2072,,,,,,,2.1e-09,,0.2017,,,,,,,,,946.4277,1126400,0.2201,-0.0536,0.05,1000.0,-349553.7018,,,,,,,,,,,,,,,,,,,,0.4924,,,0.1993,,,,,,0.1981,,-0.0147,
1986-09-01,0.23106634616851807,0.242069732034491,0.20905957443657225,0.0,5414400,-10740691,,,,,,,,,-0.0055,,,,,,,0.0,,,,688.37,525.9606,425.4869,344.2822,263.0775,0.1944,,0.2182,0.2182,,,,,,,6.1e-09,,0.2256,,,,,,,,,1125.0016,6540800,0.1944,0.125,0.05,1000.0,672046.4589,,,,,,,,,,,,,,,,,,,,1.6575,,,0.2274,,,,,,0.2283,,0.0367,
1986-09-08,0.2200629711151123,0.2567406086693457,0.2163954927807178,0.0,5011200,-14840828,,,,,-0.2796,,,93.8377,-0.0269,,,,,,,0.0,,,,688.37,525.9606,425.4869,344.2822,263.0775,0.1944,,0.2256,0.2256,,,,,,,8.1e-09,,0.2366,,,,,,,,,1071.429,1529600,0.1944,0.0714,0.05,1000.0,433413.2093,,,,,,,,,,,,,,,,,,,,0.6838,,,0.2311,,,,-5402240.0,,0.2283,0.212,-0.0367,-58.8236
1986-09-15,0.271411269903183,0.28241371064784176,0.2420695624219046,0.0,4985600,-12574520,,,,,-0.2313,,56.2499,145.6034,0.0196,,,,,,,0.0,,,,688.37,525.9606,425.4869,344.2822,263.0775,0.1944,,0.2384,0.2384,,,,,,,8.1e-09,,0.2622,,,,,,,,,1321.4305,6515200,0.1969,0.3214,0.05,1000.0,1596726.0426,0.2567,0.1944,,,,,,,,,,,,,,,,,,2.1433,,,0.2653,,0.6563,,-1135360.0,-81.7991,0.2668,0.2239,0.0513,-12.4992
1986-09-22,0.249404639005661,0.27141140638422834,0.249404639005661,0.0,6316800,-18891320,,,,,-0.4658,,29.7296,69.1058,-0.0153,,,,,,,-0.0,,,,688.37,525.9606,425.4869,344.2822,263.0775,0.1944,,0.2384,0.2384,,,,,,,3.5e-09,,0.2604,,,,,,,,,1321.4305,198400,0.202,0.2143,0.05,918.9178,1084545.8148,0.2824,0.1944,,,,,,,,,,,,,,,,,,0.6961,,,0.2567,,0.5676,,-107520.0,-22.8906,0.2549,0.229,-0.022,-37.4996
1986-09-29,0.25307217240333557,0.2677430359548108,0.25307217240333557,0.0,1305600,-20196920,,,,,-0.3322,,47.0584,46.3566,-0.0235,,,,,,,-0.0,,,,688.37,525.9606,425.4869,344.2822,263.0775,0.1944,,0.2384,0.2384,,,,,,,1.12e-08,,0.2604,,,,,,,,,1340.8623,1504000,0.2068,0.2321,0.05,918.9178,1103744.8626,0.2824,0.1944,,,,,,,0.2292,55.1531,,,,,,,,,,0.7294,,,0.258,,0.4118,,-795520.0,-81.5217,0.2567,0.2338,0.0037,-39.9998
1986-10-06,0.25674059987068176,0.2677430484880313,0.25674059987068176,0.0,1548800,-21745720,,,,,-0.5741,,27.9998,43.8611,-0.0333,,,,,,0.2583,0.0,,,,688.37,525.9606,425.4869,344.2822,263.0775,0.1944,,0.2384,0.2384,,,,,,,7.1e-09,,0.2622,,,,,,,,,1340.8623,3052800,0.2114,0.25,0.05,932.238,1126195.6142,0.2824,0.2091,,,,,,,0.2357,67.523,,,,,26.0615,,,,,0.6127,,,0.2604,,0.56,,-2406400.0,-71.3948,0.2595,0.2384,0.0037,-38.8879
1986-10-13,0.26040804386138916,0.2714114430274642,0.26040804386138916,0.0,1721600,-23467320,,,,,-0.5433,-5553455.7946,47.8258,69.8953,-0.0437,,,,,,0.2618,0.0,,,,688.37,525.9606,425.4869,344.2822,263.0775,0.1944,,0.2384,0.2384,,,,,,,6.4e-09,,0.2659,,,,,,,,,1340.8623,4774400,0.2156,0.2679,0.05,945.5547,1150788.0299,0.2824,0.2164,,,,,,,0.2421,73.7186,,,,,20.1055,,,,,0.6141,,,0.2641,,0.2609,,-1540480.0,-65.645,0.2632,0.2428,0.0037,-54.5449
