date,close,high,low,open,volume,adl,atr,middle_band_bll,upper_band_bll,lower_band_bll,cmf,co,cmo,cci,dpo,+di,-di,dx,adx,adxr,dema,emv,emv_ma,upper_band_env,lower_band_env,rl_0.0,rl_23.6,rl_38.2,rl_50.0,rl_61.8,rl_100.0,fosc,tenkan_sen,kijun_sen,senkou_a,senkou_b,imi,ko,lri,lrs,mfi,mi,mp,mom,ma-simple,ma-exponential,ma-time_series,ma-triangular,ma-variable,macd,signal_line,nvi,obv,sar,prf,target_LONG,pvi,pvt,highest_high,lowest_low,posc,prc,upper_band,lower_band,posc,trigger_line,qstick,ri,rmi,rsi,rvi,sd,smi,%K,%D,%K,%D,swi,tsf,tema,tp,uosc,vhf,vch,vosc,vrc,wc,ws,wad,wr
1997-05-12,0.0864579975605011,0.125,0.0854170024394989,0.12187500298023224,1737120000,-1645750798,,,,,,,,,,,,,,,,,,,,237.68,181.6051,146.9147,118.8772,90.8398,0.0745,,0.1052,0.1052,,,,,,,0.0,,0.1052,,,,,,,,,1000.0,0,0.125,0.0,0.05,1000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.099,,,,,,0.0958,,,
1997-05-19,0.07500000298023224,0.08854199945926666,0.06562499701976776,0.08802100270986557,1162824000,-1857186678,,,,,,,,,-0.0041,,,,,,,-0.0,,,,237.68,181.6051,146.9147,118.8772,90.8398,0.0745,,0.0953,0.0953,,,,,,,0.0,,0.0771,,,,,,,,,867.4733,-1162824000,0.125,-0.1325,0.05,1000.0,-154105247.2385,,,,,,,,,,,,,,,,,,,,-0.2931,,,0.0764,,,,,,0.076,,-0.0135,
1997-05-26,0.07500000298023224,0.08229199796915054,0.07291699945926666,0.07552099972963333,386784000,-2072093865,,,,,,,,,-0.0021,,,,,,,0.0,,,,237.68,181.6051,146.9147,118.8772,90.8398,0.0745,,0.0953,0.0953,,,,,,,0.0,,0.0776,,,,,,,,,867.4733,-1162824000,0.125,-0.1325,0.05,1000.0,-154105247.2385,,,,,,,,,,,,,,,,,,,,-0.0338,,,0.0767,,,,,,0.0763,,0.0,
1997-06-02,0.08281300216913223,0.0854170024394989,0.06875000149011612,0.07552099972963333,366696000,-1819980745,,,,,,,,,0.0023,,,,,,,-0.0,,,,237.68,181.6051,146.9147,118.8772,90.8398,0.0745,,0.0953,0.0953,,,,,,,0.0,,0.0771,,,,,,,,,957.8409,-796128000,0.1226,-0.0422,0.05,1000.0,-115905308.0821,,,,,,,,,,,,,,,,,,,,0.1171,,,0.079,,,,,,0.0799,,0.0141,
1997-06-09,0.07916700094938278,0.0854170024394989,0.07656300067901611,0.08281300216913223,226488000,-1913246541,,,,,-0.4931,,,-19.0956,-0.008,,,,,,,0.0,,,,237.68,181.6051,146.9147,118.8772,90.8398,0.0745,,0.0953,0.0953,,,,,,,0.0,,0.081,,,,,,,,,915.6701,-1022616000,0.1203,-0.0843,0.05,1000.0,-125876876.5874,,,,,,,,,,,,,,,,,,,,-0.0356,,,0.0804,,,,-479390400.0,,0.0801,0.0797,-0.0063,-77.1924
1997-06-16,0.07630199939012527,0.08020800352096558,0.07474000006914139,0.08020800352096558,249504000,-2020203053,,,,,-0.1565,,-39.3918,-39.2221,-0.015,,,,,,,-0.0,,,,237.68,181.6051,146.9147,118.8772,90.8398,0.0745,,0.0953,0.0953,,,,,,,0.0,,0.0775,,,,,,,,,915.6701,-1272120000,0.1182,-0.1175,0.05,963.8107,-134906261.817,0.125,0.0656,,,,,,,,,,,,,,,,,,-0.0663,,,0.0771,,0.303,,-240463200.0,-85.6369,0.0769,0.079,-0.0039,-53.4101
1997-06-23,0.07447899878025055,0.07708299905061722,0.07395800203084946,0.07708299905061722,165648000,-2130617676,,,,,-0.196,,-3.2266,-103.454,-0.0222,,,,,,,-0.0,,,,237.68,181.6051,146.9147,118.8772,90.8398,0.0745,,0.0953,0.0953,,,,,,,0.0,,0.0755,,,,,,,,,893.793,-1437768000,0.1161,-0.1386,0.05,963.8107,-138863909.1583,0.0885,0.0656,,,,,,,,,,,,,,,,,,-0.0391,,,0.0752,,0.5161,,-71448000.0,-85.7547,0.075,0.0781,-0.0026,-65.6267
1997-06-30,0.09557300060987473,0.09583300352096558,0.07395800203084946,0.07552099972963333,409968000,-1730395309,,,,,0.2409,,55.2429,159.7568,-0.0086,,,,,,,0.0,,,,237.68,181.6051,146.9147,118.8772,90.8398,0.0745,,0.0953,0.0953,,,,,,,1e-10,,0.0849,,,,,,,,,893.793,-1027800000,0.114,0.1054,0.05,1236.7819,-22752443.0576,0.0854,0.0688,,,,,,,-0.004,24.2686,,,,,,,,,,0.4814,,,0.0885,,0.5664,,4147200.0,5.994,0.0902,0.0816,0.0216,-0.96
1997-07-07,0.11458300054073334,0.12864600121974945,0.09166699647903442,0.09166699647903442,1028304000,-1484212945,,,,,0.1614,,65.589,154.8778,0.0038,,,,,,0.1027,0.0,,,,237.68,181.6051,146.9147,118.8772,90.8398,0.0745,,0.0971,0.0971,,,,,,,0.0,,0.1102,,,,,,,,,893.793,504000,0.0656,0.3253,0.05,1482.7847,181782926.1802,0.0958,0.0688,,,,,,,0.0033,62.1343,,,,,22.201,,,,,0.4657,,,0.1116,,0.8279,,303153600.0,180.4241,0.1124,0.0882,0.0229,-25.715
1997-07-14,0.10781300067901611,0.12473999708890915,0.10572899878025055,0.11614599823951721,417048000,-1809826628,,,,,0.0455,47119880.7613,55.5564,85.7858,-0.0047,,,,,,0.1075,0.0,,,,237.68,181.6051,146.9147,118.8772,90.8398,0.0745,,0.0971,0.0971,,,,,,,0.0,,0.1152,,,,,,,,,840.9843,-416544000,0.0669,0.247,0.05,1482.7847,157142142.7393,0.1286,0.074,,,,,,,0.0039,31.4761,,,,,27.5424,,,,,-0.0356,,,0.1128,,0.7778,,268581600.0,84.1369,0.1115,0.0921,-0.0169,-38.0943
