date,close,high,low,open,volume,adl,atr,middle_band_bll,upper_band_bll,lower_band_bll,cmf,co,cmo,cci,dpo,+di,-di,dx,adx,adxr,dema,emv,emv_ma,upper_band_env,lower_band_env,rl_0.0,rl_23.6,rl_38.2,rl_50.0,rl_61.8,rl_100.0,fosc,tenkan_sen,kijun_sen,senkou_a,senkou_b,imi,ko,lri,lrs,mfi,mi,mp,mom,ma-simple,ma-exponential,ma-time_series,ma-triangular,ma-variable,macd,signal_line,nvi,obv,sar,prf,target_LONG,pvi,pvt,highest_high,lowest_low,posc,prc,upper_band,lower_band,posc,trigger_line,qstick,ri,rmi,rsi,rvi,sd,smi,%K,%D,%K,%D,swi,tsf,tema,tp,uosc,vhf,vch,vosc,vrc,wc,ws,wad,wr
1962-01-01,0.04465905576944351,0.04764396813289749,0.044544257915894614,0.04638119174385962,4646400,-4302240,,,,,,,,,,,,,,,,,,,,71.4348,54.5844,44.16,35.7348,27.3097,0.0349,,0.0461,0.0461,,,,,,,7e-10,,0.0461,,,,,,,,,1000.0,0,0.0476,0.0,0.05,1000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0456,,,,,,0.0454,,,
1962-01-08,0.045347850769758224,0.04586453060131813,0.043338806292844284,0.0443146750439227,6105600,-694649,,,,,,,,,0.0017,,,,,,,-0.0,,,,71.4348,54.5844,44.16,35.7348,27.3097,0.0349,,0.0455,0.0455,,,,,,,4e-10,,0.0446,,,,,,,,,1000.0,6105600,0.0476,0.0154,0.05,1015.4234,94169.1821,,,,,,,,,,,,,,,,,,,,0.0058,,,0.0449,,,,,,0.045,,0.002,
1962-01-15,0.043166689574718475,0.045233043212285474,0.041674146566531865,0.045233043212285474,7411200,-1889577,,,,,,,,,-0.0001,,,,,,,-0.0,,,,71.4348,54.5844,44.16,35.7348,27.3097,0.0349,,0.0447,0.0447,,,,,,,5e-10,,0.0435,,,,,,,,,1000.0,-1305600,0.0476,-0.0334,0.05,966.5831,-262298.028,,,,,,,,,,,,,,,,,,,,-0.046,,,0.0434,,,,,,0.0433,,-0.0022,
1962-01-22,0.04132978245615959,0.04362591213773115,0.04110018656790165,0.043166720361215265,7603200,-8110470,,,,,,,,,-0.0013,,,,,,,-0.0,,,,71.4348,54.5844,44.16,35.7348,27.3097,0.0349,,0.0444,0.0444,,,,,,,3e-10,,0.0424,,,,,,,,,1000.0,-8908800,0.0473,-0.0745,0.05,925.4513,-585843.1584,,,,,,,,,,,,,,,,,,,,-0.037,,,0.042,,,,,,0.0418,,-0.0023,
1962-01-29,0.04362588748335838,0.04385548061418916,0.04115747556723677,0.04132975909940181,6220800,-2948418,,,,,-0.0922,,,-48.4154,0.0011,,,,,,,0.0,,,,71.4348,54.5844,44.16,35.7348,27.3097,0.0349,,0.0444,0.0444,,,,,,,4e-10,,0.0425,,,,,,,,,1055.5557,-2688000,0.0468,-0.0231,0.05,925.4513,-240242.255,,,,,,,,,,,,,,,,,,,,0.0398,,,0.0429,,,,514560.0,,0.0431,0.0436,0.0025,-61.403
1962-02-05,0.04362588748335838,0.04362588748335838,0.042822302328587046,0.04362588748335838,2764800,-183618,,,,,0.1368,,-14.7533,6.4293,0.001,,,,,,,0.0,,,,71.4348,54.5844,44.16,35.7348,27.3097,0.0349,,0.0444,0.0444,,,,,,,3e-10,,0.0432,,,,,,,,,1055.5557,-2688000,0.0463,-0.0231,0.05,925.4513,-240242.255,0.0476,0.0411,,,,,,,,,,,,,,,,,,0.0056,,,0.0434,,0.5738,,-1528320.0,-40.4959,0.0434,0.0436,0.0,-46.9874
1962-02-12,0.042248137295246124,0.0437406804463386,0.042248137295246124,0.04362588520076718,3456000,-3639618,,,,,-0.1073,,-40.2983,-21.4909,-0.0002,,,,,,,-0.0,,,,71.4348,54.5844,44.16,35.7348,27.3097,0.0349,,0.0444,0.0444,,,,,,,4e-10,,0.043,,,,,,,,,1055.5557,-6144000,0.0459,-0.054,0.05,896.2246,-349386.273,0.0459,0.0411,,,,,,,,,,,,,,,,,,-0.0318,,,0.0427,,0.2985,,-2380800.0,-43.3962,0.0426,0.0434,-0.0015,-72.2238
1962-02-19,0.042018529027700424,0.04305188300555374,0.042018529027700424,0.042592518222891056,2534400,-6174018,,,,,-0.1898,,-20.0015,-53.5765,-0.0008,,,,,,,-0.0,,,,71.4348,54.5844,44.16,35.7348,27.3097,0.0349,,0.0444,0.0444,,,,,,,4e-10,,0.0425,,,,,,,,,1049.819,-8678400,0.0455,-0.0591,0.05,896.2246,-363160.1156,0.0452,0.0411,,,,,,,-0.0005,0.0245,,,,,,,,,,-0.0084,,,0.0424,,0.4,,-1520640.0,-65.8031,0.0423,0.0431,-0.001,-66.6699
1962-02-26,0.042362961918115616,0.04305192301919392,0.041329783034182034,0.042018568080912144,22233600,-1730012,,,,,0.1715,,24.3221,-94.9027,-0.0008,,,,,,0.0423,-0.0,,,,71.4348,54.5844,44.16,35.7348,27.3097,0.0349,,0.0444,0.0444,,,,,,,1e-10,,0.0422,,,,,,,,,1049.819,13555200,0.0452,-0.0514,0.05,903.5711,-180907.5882,0.0439,0.0411,,,,,,,-0.0003,50.0122,,,,,-23.9187,,,,,0.0034,,,0.0422,,0.3784,,4942080.0,192.4242,0.0423,0.0429,0.001,-55.3193
1962-03-05,0.0417889803647995,0.042707540164725395,0.04144458908789813,0.04236297020576403,4224000,-3650346,,,,,-0.0199,116185.8287,-72.7265,-90.7912,-0.0017,,,,,,0.0419,-0.0,,,,71.4348,54.5844,44.16,35.7348,27.3097,0.0349,,0.0435,0.0444,,,,,,,3e-10,,0.0421,,,,,,,,,1035.5949,9331200,0.0449,-0.0643,0.05,903.5711,-238139.1408,0.0439,0.0412,,,,,,,-0.0005,25.0107,,,,,-30.0421,,,,,-0.0088,,,0.042,,0.7273,,6186240.0,-32.0988,0.0419,0.0427,-0.0009,-80.9533
1962-03-12,0.042937085032463074,0.04328147854850223,0.042248124573875126,0.042248124573875126,5683200,-1755310,,,,,-0.0412,614940.0677,-18.7487,92.3966,-0.0008,,,,,,0.0424,0.0,,,,71.4348,54.5844,44.16,35.7348,27.3097,0.0349,,0.0432,0.0444,,,,,,,2e-10,,0.0428,,,,,,,,,1035.5949,15014400,0.0446,-0.0386,0.05,928.3957,-81999.6899,0.0437,0.0413,,,,,,,-0.0001,25.4976,,,,,-19.156,,,,,0.0205,,,0.0428,,0.3125,,-2672640.0,105.5556,0.0429,0.0428,0.0011,-33.3318
1962-03-19,0.045758191496133804,0.046104822622814526,0.04321605799191728,0.04321605799191728,7257600,3760569,,,,,0.1765,2518124.6593,68.5928,166.6667,0.0015,,,,,,0.0442,0.0,,,,71.4348,54.5844,44.16,35.7348,27.3097,0.0349,,0.0436,0.0444,,,,,,,4e-10,,0.0447,,,,,,,,,1035.5949,22272000,0.0411,0.0246,0.05,989.3943,394848.2902,0.0437,0.0413,,,,,,,0.0004,23.9696,43.036,,,,20.9955,,,,,0.0674,,,0.045,,0.7757,,-1916160.0,110.0,0.0452,0.0434,0.0028,-7.2592
