date,close,high,low,open,volume,adl,atr,middle_band_bll,upper_band_bll,lower_band_bll,cmf,co,cmo,cci,dpo,+di,-di,dx,adx,adxr,dema,emv,emv_ma,upper_band_env,lower_band_env,rl_0.0,rl_23.6,rl_38.2,rl_50.0,rl_61.8,rl_100.0,fosc,tenkan_sen,kijun_sen,senkou_a,senkou_b,imi,ko,lri,lrs,mfi,mi,mp,mom,ma-simple,ma-exponential,ma-time_series,ma-triangular,ma-variable,macd,signal_line,nvi,obv,sar,prf,target_LONG,pvi,pvt,highest_high,lowest_low,posc,prc,upper_band,lower_band,posc,trigger_line,qstick,ri,rmi,rsi,rvi,sd,smi,%K,%D,%K,%D,swi,tsf,tema,tp,uosc,vhf,vch,vosc,vrc,wc,ws,wad,wr
2004-08-16,2.700670003890991,2.7198703457827866,2.3927273929104644,2.493464097105997,1349868780,1191418525,,,,,,,,,,,,,,,,,,,,204.02,156.4598,127.037,103.2569,79.4768,2.4937,,2.5563,2.5563,,,,,,,2e-10,,2.5563,,,,,,,,,1000.0,0,2.3927,0.0,0.05,1000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.6044,,,,,,2.6285,,,
2004-08-23,2.646811008453369,2.8295824558065314,2.5824802234365323,2.761511329320904,1119974904,654593875,,,,,,,,,-0.084,,,,,,,0.0,,,,204.02,156.4598,127.037,103.2569,79.4768,2.4937,,2.6112,2.6112,,,,,,,2e-10,,2.706,,,,,,,,,980.0572,-1119974904,2.3927,-0.0199,0.05,1000.0,-22335466.0724,,,,,,,,,,,,,,,,,,,,-0.427,,,2.6863,,,,,,2.6764,,-0.1828,
2004-08-30,2.493713140487671,2.6303547416268644,2.467032829382993,2.6251187385901344,790480728,122379432,,,,,,,,,-0.338,,,,,,,-0.0,,,,204.02,156.4598,127.037,103.2569,79.4768,2.4937,,2.6112,2.6112,,,,,,,2e-10,,2.5487,,,,,,,,,923.3683,-1910455632,2.3927,-0.0766,0.05,1000.0,-68058758.6454,,,,,,,,,,,,,,,,,,,,-3.5572,,,2.5304,,,,,,2.5212,,-0.1531,
2004-09-06,2.6263651847839355,2.657035034951051,2.4837392756976597,2.5186476252775143,471875652,427230159,,,,,,,,,-0.3366,,,,,,,0.0,,,,204.02,156.4598,127.037,103.2569,79.4768,2.4937,,2.6112,2.6112,,,,,,,4e-10,,2.5704,,,,,,,,,972.4865,-1438579980,2.4102,-0.0275,0.05,1000.0,-42957527.5233,,,,,,,,,,,,,,,,,,,,2.029,,,2.589,,,,,,2.5984,,0.1426,
2004-09-13,2.929570198059082,2.929570198059082,2.6545411852541294,2.6587796847116625,962500536,1389730695,,,,,0.296,,,139.4883,-0.2166,,,,,,,0.0,,,,204.02,156.4598,127.037,103.2569,79.4768,2.4937,,2.6611,2.6611,,,,,,,3e-10,,2.7921,,,,,,,,,972.4865,-476079444,2.427,0.0848,0.05,1115.4466,68159917.0293,,,,,,,,,,,,,,,,,,,,7.1259,,,2.8379,,,,-221752026.0,,2.8608,2.6794,0.3032,-0.0
2004-09-20,2.98791766166687,3.0943887598158617,2.911617306235413,2.91610595370831,861957180,1247444316,,,,,0.0133,,40.9674,118.5092,-0.4371,,,,,,,0.0,,,,204.02,156.4598,127.037,103.2569,79.4768,2.4937,,2.7436,2.7436,,,,,,,2e-10,,3.003,,,,,,,,,991.8553,385877736,2.4571,0.1064,0.05,1115.4466,85327286.9134,2.9296,2.3927,,,,,,,,,,,,,,,,,,1.7762,,,2.998,,0.7048,,70871058.0,-36.1451,2.9955,2.7411,0.0763,-16.9714
2004-09-27,3.3058340549468994,3.366674647569473,2.937300068077046,2.9811850000299973,1667890440,2442668475,,,,,0.3761,,68.2771,113.8341,-0.4232,,,,,,,0.0,,,,204.02,156.4598,127.037,103.2569,79.4768,2.4937,,2.8797,2.8797,,,,,,,3e-10,,3.152,,,,,,,,,991.8553,2053768176,2.5081,0.2241,0.05,1234.1309,262791920.5189,3.0944,2.467,,,,,,,,,,,,,,,,,,7.0304,,,3.2033,,0.8414,,313982902.8,48.9221,3.2289,2.8541,0.3685,-6.7628
2004-10-04,3.4342474937438965,3.4878570742067394,3.297355749546742,3.37240963730954,1331239428,3024651305,,,,,0.5481,,100.0,111.7527,-0.5006,,,,,,,0.0,,,,204.02,156.4598,127.037,103.2569,79.4768,2.4937,,2.9403,2.9403,,,,,,,1e-10,,3.3926,,,,,,,,,1030.3834,3385007604,2.594,0.2716,0.05,1234.1309,314503237.533,3.3667,2.467,,,,,,,0.0997,46.2497,,,,,,,,,,2.6856,,,3.4065,,0.859,,440472286.8,68.4088,3.4134,2.9701,0.1369,-5.339
2004-10-11,3.593329906463623,3.6279892967278324,3.326279968450886,3.416044603590163,1310815872,4034302615,,,,,0.588,,100.0,98.2782,-0.5469,,,,,,3.5209,0.0,,,,204.02,156.4598,127.037,103.2569,79.4768,2.4937,,3.0104,3.0104,,,,,,,2e-10,,3.4771,,,,,,,,,1078.1132,4695823476,2.7012,0.3305,0.05,1234.1309,375223308.5032,3.4879,2.4837,,,,,,,0.096,44.1465,,,,,88.3014,,,,,2.6794,,,3.5159,,0.6864,,94146958.8,177.7884,3.5352,3.0947,0.267,-3.5605
2004-10-18,4.299479007720947,4.492473504429969,3.4808746763120744,3.5706402601253875,3154574268,5985207096,,,,,0.5519,1857592271.8786,100.0,149.8014,0.0276,,,,,,4.0061,0.0,,,,204.02,156.4598,127.037,103.2569,79.4768,2.4937,,3.4798,3.4426,,,,,,,3e-10,,3.9867,,,,,,,,,1078.1132,7850397744,2.831,0.592,0.05,1476.6581,995149628.1519,3.628,2.6545,,,,,,,0.2014,24.3733,,,,,83.9773,,,,,15.8226,,,4.0909,,0.9574,,567399632.4,227.7478,4.1431,3.3357,0.8186,-12.2082
